近年来 b t N N O
， m x N N O
朝鲜半岛 m ns N N O
局势 m n N N O
以及 m c N N O
与 m p N N O
自己 m r N N O
无关 m v N N O
的 m uj N N O
南海 m ns N N O
问题 m n N N O
， m x N N O
似乎 m d N Y O
已经 m d N N O
成为 m v N N O
日本 m ns N N O
一个 m m N N O
“ m x N N O
心病 m n N N O
” m x N N O
， m x N N O
紧紧 m d N Y O
牵动 m vn N N O
着 m uz N N O
日本政府 m nt N N O
的 m uj N N O
神经 m n N N O
， m x N N O
甚至 m d N N O
发展 m vn N N O
到 m v N Y O
“ m x N N O
逢人必谈 m i N N O
” m x N N O
的 m uj N N O
境地 m s N N O
。 e x N N O
而 b c N N O
自 m r N N O
河野 m ns N N O
太郎 m n N N O
就任 m v N N O
日本 m ns N N O
外相 m n N N O
以来 m f N N O
， m x N N O
更是 m d N N O
将 m d N N O
这种 m r N N O
“ m x N N O
逢人必谈 m i N N O
” m x N N O
朝鲜 m ns N N O
和 m c N Y O
南海 m ns N N O
问题 m n N N O
的 m uj N N O
剧本 m n N N O
， m x N N O
演绎 m v N N O
得 m ud N N O
淋漓尽致 m i N Y O
。 e x N N O
7 b m N N O
月 m m N N O
2 m m N N O
日 m m N N O
， m x N N O
日本 m ns N N O
与 m p N N O
文莱 m nr N N O
举行 m v N N O
了 m ul N N O
外长 m n N N O
会谈 m v N N O
， m x N N O
而 m c N N O
朝鲜 m ns N N O
无核化 m l N N O
及 m c N N O
南海 m ns N N O
问题 m n N N O
又 m d N N O
成为 m v N N O
了 m ul N N O
此次 m r N N O
会谈 m v N N O
的 m uj N N O
话题 m n N N O
。 e x N N O
日本共同社 b nt N N O
7 m m N N O
月 m m N N O
2 m m N N O
日 m m N N O
报道 m v N N O
称 m v Y N O
， m x N N O
日本 m ns N N O
外相 m n N N O
河野 m ns N N O
太郎 m n N N O
2 m m N N O
日 m m N N O
在 m p N N O
外务省 m nt N N O
与 m p N N O
文莱 m nr N N O
外交 m n N N O
与 m p N N O
贸易部 m n N N O
第二 m m N N O
部长 m n N N O
艾瑞万 m nr N N O
举行会谈 m i N N O
， m x N N O
确认 m v N N O
了为 m v N N O
实现 m v N N O
朝鲜 m ns N N O
无核化 m l N N O
将 m d N N O
加强 m v N N O
合作 m vn N N O
的 m uj N N O
方针 m n N N O
。 e x N N O
双方 b n N N O
还 m d N N O
商定 m n N N O
包括 m v N N O
促使 m v N N O
7 m x N N O
月底 m t N N O
至 m p N N O
8 m m N N O
月 m m N N O
上旬 m t N N O
在 m p N N O
新加坡 m ns N N O
举行 m v N N O
的 m uj N N O
东盟 m j N N O
相关 m v N N O
会议 m n N N O
取得成功 m i N N O
， m x N N O
日本 m ns N N O
将 m d N N O
与 m p N N O
东盟 m j N N O
展开 m v N N O
合作 m vn N N O
。 e x N N O
日本 b ns N N O
正在 m t N N O
摸索 m v N N O
配合 m v N N O
该 m r N N O
会议 m n N N O
举行 m v N N O
日朝 m t N N O
外长 m n N N O
会谈 m v N N O
。 e x N N O
报道 b v N N O
称 m v Y N O
， m x N N O
文莱 m nr N N O
至今 m d N N O
夏 m nr N N O
为止 m v N N O
一直 m d N N O
作为 m v N N O
东盟 m j N N O
的 m uj N N O
对 m p N Y O
日 m m N N O
窗口 m s N N O
。 e x N N O
在 b p N N O
与 m p N N O
艾瑞万 m nr N N O
的 m uj N N O
会谈 m v N N O
中 m f N Y O
， m x N N O
河野 m ns N N O
强调 m v N N O
了 m ul N N O
全面解决 m i N N O
“ m x N N O
朝鲜 m ns N N O
绑架 m v N N O
日本 m ns N N O
人 m n N N O
问题 m n N N O
” m x N N O
和 m c N Y O
核导 m n N N O
问题 m n N N O
的 m uj N N O
重要性 m n N N O
。 e x N N O
双方 b n N N O
基于 m p N N O
美朝 m ns N N O
首脑 m n N N O
会谈 m v N N O
的 m uj N N O
结果 m n N N O
， m x N N O
一致 m d N Y O
认为 m v N N O
有 m v N N O
必要 m d N Y O
促使 m v N N O
朝鲜 m ns N N O
在 m p N N O
核 m n N N O
问题 m n N N O
等 m u N N O
方面 m n N N O
拿出 m v N N O
具体 m a N N O
行动 m vn N N O
。 e x N N O
同时 b c N N O
双方 m n N N O
基于 m p N N O
日本首相 m n N N O
安倍晋三 m nr N N O
提出 m v N N O
的 m uj N N O
外交 m n N N O
方针 m n N N O
“ m x N N O
自由 m a N Y O
开放 m v N N O
